target,text
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
ham,U still havent got urself a jacket ah?
ham,Lol now I'm after that hot air balloon!
ham,I dont thnk its a wrong calling between us
ham,Ü bot notes oredi... Cos i juz rem i got...
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
ham,"Sorry, I'll call later"
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
ham,Were somewhere on Fredericksburg
ham,It has issues right now. Ill fix for her by tomorrow.
ham,Wah lucky man... Then can save money... Hee...
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,on a Tuesday night r u 4 real
ham,Tmr timin still da same wat cos i got lesson until 6...
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Rats. Hey did u ever vote for the next themes?
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Ugh fuck it I'm resubbing to eve
ham,I anything lor...
spam,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
ham,Where are you?when wil you reach here?
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,Still chance there. If you search hard you will get it..let have a try :)
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,Ok.ok ok..then..whats ur todays plan
ham,No..but heard abt tat..
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,You also didnt get na hi hi hi hi hi
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Well then you have a great weekend!
ham,Good morning princess! Have a great day!
ham,Is there any training tomorrow?
ham,Happy new years melody!
ham,Great! I have to run now so ttyl!
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,Senthil group company Apnt 5pm.
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
ham,Oh that was a forwarded message. I thought you send that to me
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
ham,Some of them told accenture is not confirm. Is it true.
spam,You have 1 new message. Please call 08715205273
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,Love you aathi..love u lot..
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
ham,Well obviously not because all the people in my cool college life went home ;_;
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
ham,Cant think of anyone with * spare room off * top of my head
ham,What he said is not the matter. My mind saying some other matter is there.
